Day of the Week,Part of Day,Region,Sky,Ambulance,Police
Monday,Afternoon,NORTH EASTERN REGION,Clear,0.9833233527501043,0.7980595326667513
Monday,Afternoon,NORTH EASTERN REGION,Not clear,0.900382165605096,0.5402292993630576
Monday,Afternoon,NORTHERN REGION,Clear,0.8265616588334211,0.6697999649167378
Monday,Afternoon,NORTHERN REGION,Not clear,0.7803312101910832,0.6602802547770704
Monday,Afternoon,SOUTH WESTERN REGION,Clear,1.211340362083462,0.9833233527501043
Monday,Afternoon,SOUTH WESTERN REGION,Not clear,1.3805859872611472,1.0804585987261153
Monday,Afternoon,WESTERN REGION,Clear,0.8693148480834255,0.6840510280000727
Monday,Afternoon,WESTERN REGION,Not clear,0.5402292993630576,0.3601528662420384
Monday,Evening,EASTERN REGION,Clear,0.262472301801426,0.2486579701276667
Monday,Evening,EASTERN REGION,Not clear,0.8181418844717764,0.8181418844717764
Monday,Evening,METROPOLITAN NORTH WEST REGION,Clear,2.452043872092269,2.1066855802482873
Monday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,4.9906654952778355,3.845266857017349
Monday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.417508042907871,2.1135927460851667
Monday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,5.317922249066546,4.008895233911704
Monday,Evening,NORTH EASTERN REGION,Clear,0.2693794676383056,0.23484363845390743
Monday,Evening,NORTH EASTERN REGION,Not clear,0.8999560729189541,0.6545135075774211
Monday,Evening,NORTHERN REGION,Clear,0.3798941210283797,0.3039152968227038
Monday,Evening,NORTHERN REGION,Not clear,1.6362837689435528,1.3090270151548422
Monday,Evening,SOUTH WESTERN REGION,Clear,0.3798941210283797,0.317729628496463
Monday,Evening,SOUTH WESTERN REGION,Not clear,0.49088513068306583,0.49088513068306583
Monday,Evening,WESTERN REGION,Clear,0.27628663347518523,0.22793647261702782
Monday,Evening,WESTERN REGION,Not clear,0.6545135075774211,0.49088513068306583
Monday,Morning,EASTERN REGION,Clear,0.7259215438656719,0.603575216247862
Monday,Morning,EASTERN REGION,Not clear,0.8430914116528827,0.6686587057936657
Monday,Morning,METROPOLITAN NORTH WEST REGION,Clear,4.208713670052659,3.3115072675220536
Monday,Morning,METROPOLITAN NORTH WEST REGION,Not clear,1.4826779998033455,1.1338125880849113
Monday,Morning,METROPOLITAN SOUTH EAST REGION,Clear,4.5023448563354025,3.5888256101224227
Monday,Morning,METROPOLITAN SOUTH EAST REGION,Not clear,2.180408823240214,1.7443270585921713
Monday,Morning,NORTH EASTERN REGION,Clear,0.6443573254537986,0.5791059507243
Monday,Morning,NORTH EASTERN REGION,Not clear,0.3197932940752314,0.26164905878882566
Monday,Morning,NORTHERN REGION,Clear,0.5872623725654873,0.4322903575829282
Monday,Morning,NORTHERN REGION,Not clear,0.29072117643202855,0.20350482350241997
Monday,Morning,SOUTH WESTERN REGION,Clear,0.9950834646248535,0.7830164967539831
Monday,Morning,SOUTH WESTERN REGION,Not clear,0.5232981175776513,0.3488654117184342
Monday,Morning,WESTERN REGION,Clear,0.7014522783421099,0.5791059507243
Monday,Morning,WESTERN REGION,Not clear,0.5232981175776513,0.40700964700483994
Monday,Night,EASTERN REGION,Clear,0.07162882256366401,0.05571130643840534
Monday,Night,EASTERN REGION,Not clear,0.06379126386239452,0.03189563193119726
Monday,Night,METROPOLITAN NORTH WEST REGION,Clear,0.8277108385134507,0.7481232578871575
Monday,Night,METROPOLITAN NORTH WEST REGION,Not clear,0.35085195124316987,0.35085195124316987
Monday,Night,METROPOLITAN SOUTH EAST REGION,Clear,0.6128243708224588,0.5332367901961654
Monday,Night,METROPOLITAN SOUTH EAST REGION,Not clear,0.7017039024863397,0.6060170066927479
Monday,Night,NORTH EASTERN REGION,Clear,0.10346385481418134,0.10346385481418134
Monday,Night,NORTH EASTERN REGION,Not clear,0.09568689579359178,0.09568689579359178
Monday,Night,NORTHERN REGION,Clear,0.1352988870646987,0.11142261287681068
Monday,Night,NORTHERN REGION,Not clear,0.25516505544957807,0.22326942351838083
Monday,Night,SOUTH WESTERN REGION,Clear,0.08754633868892268,0.08754633868892268
Monday,Night,SOUTH WESTERN REGION,Not clear,0.19137379158718357,0.19137379158718357
Monday,Night,WESTERN REGION,Clear,0.14325764512732803,0.1352988870646987
Monday,Night,WESTERN REGION,Not clear,0.09568689579359178,0.06379126386239452
Saturday,Afternoon,EASTERN REGION,Clear,1.1472105782084552,0.9049425057917627
Saturday,Afternoon,EASTERN REGION,Not clear,1.2605350318471344,0.7803312101910832
Saturday,Afternoon,METROPOLITAN NORTH WEST REGION,Clear,4.83823591679218,3.7409040593753966
Saturday,Afternoon,METROPOLITAN NORTH WEST REGION,Not clear,3.301401273885352,2.821197452229301
Saturday,Afternoon,METROPOLITAN SOUTH EAST REGION,Clear,5.386901845500572,4.310946582708791
Saturday,Afternoon,METROPOLITAN SOUTH EAST REGION,Not clear,4.261808917197454,3.721579617834397
Saturday,Afternoon,NORTH EASTERN REGION,Clear,1.1543361097501224,0.7695574065000816
Saturday,Afternoon,NORTH EASTERN REGION,Not clear,0.900382165605096,0.600254777070064
Saturday,Afternoon,NORTHERN REGION,Clear,0.9833233527501043,0.7695574065000816
Saturday,Afternoon,NORTHERN REGION,Not clear,0.7203057324840768,0.5402292993630576
Saturday,Afternoon,SOUTH WESTERN REGION,Clear,1.3752275875418125,1.061704199708446
Saturday,Afternoon,SOUTH WESTERN REGION,Not clear,1.1404840764331217,0.9604076433121024
Saturday,Afternoon,WESTERN REGION,Clear,0.8621893165417581,0.6840510280000727
Saturday,Afternoon,WESTERN REGION,Not clear,0.5402292993630576,0.4201783439490448
Saturday,Evening,EASTERN REGION,Clear,0.40061561853901856,0.3798941210283797
Saturday,Evening,EASTERN REGION,Not clear,0.9817702613661317,0.5726993191302435
Saturday,Evening,METROPOLITAN NORTH WEST REGION,Clear,2.8526594906312877,2.5142083646241855
Saturday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,5.808807379749613,4.827037118383481
Saturday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.5901871888298618,2.3069933895177965
Saturday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,5.317922249066546,4.254337799253237
Saturday,Evening,NORTH EASTERN REGION,Clear,0.32463679433334264,0.29010096514894446
Saturday,Evening,NORTH EASTERN REGION,Not clear,0.49088513068306583,0.32725675378871055
Saturday,Evening,NORTHERN REGION,Clear,0.5456661011134908,0.45587294523405564
Saturday,Evening,NORTHERN REGION,Not clear,0.8999560729189541,0.7363276960245988
