day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Afternoon,GOLDEN PLAINS,Clear,0.00337936478755961,0.00337936478755961
Friday,Afternoon,GOLDEN PLAINS,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,HEPBURN,Clear,0.00675872957511922,0.006082856617607299
Friday,Afternoon,HEPBURN,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,HINDMARSH,Clear,0.0013517459150238441,0.0013517459150238441
Friday,Afternoon,HOBSONS BAY,Clear,0.025683172385453038,0.01960031576784574
Friday,Afternoon,HOBSONS BAY,Not clear,0.0170806613822413,0.0170806613822413
Friday,Afternoon,HORSHAM,Clear,0.00675872957511922,0.004731110702583454
Friday,Afternoon,HORSHAM,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,HUME,Clear,0.0459593611108107,0.037173012663155716
Friday,Afternoon,HUME,Not clear,0.07970975311712608,0.06262909173488479
Friday,Afternoon,INDIGO,Clear,0.00337936478755961,0.0027034918300476883
Friday,Afternoon,KINGSTON,Clear,0.037173012663155716,0.027710791257988802
Friday,Afternoon,KINGSTON,Not clear,0.04554843035264348,0.04554843035264348
Friday,Afternoon,KNOX,Clear,0.027710791257988802,0.021627934640381506
Friday,Afternoon,KNOX,Not clear,0.04554843035264348,0.03985487655856304
Friday,Afternoon,LATROBE,Clear,0.014869205065262287,0.012841586192726519
Friday,Afternoon,LATROBE,Not clear,0.028467768970402173,0.028467768970402173
Friday,Afternoon,LODDON,Clear,0.00337936478755961,0.0027034918300476883
Friday,Afternoon,LODDON,Not clear,0.01138710758816087,0.01138710758816087
Friday,Afternoon,MACEDON RANGES,Clear,0.006082856617607299,0.004731110702583454
Friday,Afternoon,MACEDON RANGES,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,MANNINGHAM,Clear,0.021627934640381506,0.018924442810333817
Friday,Afternoon,MANNINGHAM,Not clear,0.056935537940804345,0.056935537940804345
Friday,Afternoon,MANSFIELD,Clear,0.010813967320190753,0.006082856617607299
Friday,Afternoon,MANSFIELD,Not clear,0.005693553794080435,0.005693553794080435
